DateTime,Positive_reviews,Negative_reviews,Source
2024-04-22,13,1,ACV
2024-04-23,7,9,ACV
2024-04-24,3,4,ACV
2024-04-25,6,7,ACV
2024-04-26,8,0,ACV
2024-04-27,11,4,ACV
2024-04-28,12,0,ACV
2024-04-29,9,9,ACV
2024-04-30,3,5,ACV
2024-05-01,9,0,ACV
2024-05-02,11,3,ACV
2024-05-03,9,4,ACV
2024-05-04,6,7,ACV
2024-05-05,12,2,ACV
2024-05-06,19,5,ACV
2024-05-07,2,2,ACV
2024-05-08,11,4,ACV
2024-05-09,6,3,ACV
2024-05-10,8,0,ACV
2024-05-11,4,9,ACV
2024-05-12,10,8,ACV
2024-05-13,13,3,ACV
2024-05-14,8,6,ACV
2024-05-15,6,7,ACV
2024-05-16,6,7,ACV
2024-05-17,17,15,ACV
2024-05-18,26,20,ACV
2024-05-19,34,17,ACV
2024-05-20,28,8,ACV
2024-05-21,31,11,ACV
2024-05-22,26,21,ACV
2024-05-23,23,17,ACV
2024-05-24,39,18,ACV
2024-05-25,45,20,ACV
2024-05-26,50,28,ACV
2024-05-27,31,8,ACV
2024-05-28,39,12,ACV
2024-05-29,35,14,ACV
2024-05-30,28,18,ACV
2024-05-31,27,17,ACV
2024-06-01,23,10,ACV
2024-06-02,21,8,ACV
2024-06-03,26,13,ACV
2024-06-04,12,5,ACV
2024-06-05,14,8,ACV
2024-06-06,13,11,ACV
2024-06-07,13,2,ACV
2024-06-08,19,10,ACV
2024-06-09,21,12,ACV
2024-06-10,22,7,ACV
2024-06-11,8,1,ACV
2024-06-12,13,3,ACV
2024-06-13,14,7,ACV
2024-06-14,12,10,ACV
2024-06-15,15,7,ACV
2024-06-16,9,10,ACV
2024-06-17,12,10,ACV
2024-06-18,14,8,ACV
2024-06-19,12,8,ACV
2024-06-20,14,10,ACV
2024-06-21,8,9,ACV
2024-06-22,7,4,ACV
2024-06-23,13,3,ACV
2024-06-24,11,3,ACV
2024-06-25,17,6,ACV
2024-06-26,14,4,ACV
2024-06-27,12,4,ACV
2024-06-28,10,8,ACV
2024-06-29,19,13,ACV
2024-06-30,31,15,ACV
2024-07-01,31,12,ACV
2024-07-02,25,8,ACV
2024-07-03,30,6,ACV
2024-07-04,23,11,ACV
2024-07-05,30,11,ACV
2024-07-06,36,11,ACV
2024-07-07,23,16,ACV
2024-07-08,46,15,ACV
2024-07-09,27,12,ACV
2023-01-27,131,96,WDL
2023-01-28,141,136,WDL
2023-01-29,0,0,WDL
2023-01-30,0,0,WDL
2023-01-31,255,196,WDL
2023-02-01,57,60,WDL
2023-02-02,42,46,WDL
2023-02-03,53,24,WDL
2023-02-04,42,35,WDL
2023-02-05,31,29,WDL
2023-02-06,26,16,WDL
2023-02-07,19,17,WDL
2023-02-08,0,0,WDL
2023-02-09,18,14,WDL
2023-02-10,20,6,WDL
2023-02-11,15,15,WDL
2023-02-12,0,0,WDL
2023-02-13,31,30,WDL
2023-02-14,0,0,WDL
2023-02-15,7,10,WDL
2023-02-16,7,9,WDL
2023-02-17,4,5,WDL
2023-02-18,8,7,WDL
2023-02-19,9,7,WDL
2023-02-20,0,0,WDL
2023-02-21,7,8,WDL
2023-02-22,5,2,WDL
2023-02-23,9,0,WDL
2023-02-24,9,6,WDL
2023-02-25,6,10,WDL
2023-02-26,0,0,WDL
2023-02-27,8,9,WDL
2023-02-28,5,4,WDL
2023-03-01,3,2,WDL
2023-03-02,3,4,WDL
2023-03-03,8,14,WDL
2023-03-04,14,20,WDL
2023-03-05,31,30,WDL
2023-03-06,31,16,WDL
2023-03-07,0,0,WDL
2023-03-08,26,18,WDL
2023-03-09,14,19,WDL
2023-03-10,19,15,WDL
2023-03-11,11,19,WDL
2023-03-12,14,11,WDL
2023-03-13,9,5,WDL
2023-03-14,6,6,WDL
2023-03-15,0,0,WDL
2023-03-16,0,0,WDL
2023-03-17,21,13,WDL
2023-03-18,13,13,WDL
2023-03-19,22,17,WDL
2023-03-20,11,21,WDL
2023-03-21,17,11,WDL
2023-03-22,0,0,WDL
2023-03-23,15,8,WDL
2023-03-24,10,11,WDL
2023-03-25,12,7,WDL
2023-03-26,17,14,WDL
2023-03-27,18,2,WDL
2023-03-28,0,0,WDL
2023-03-29,9,3,WDL
2023-03-30,6,3,WDL
2023-03-31,5,7,WDL
2023-04-01,5,6,WDL
2023-04-02,5,3,WDL
2023-04-03,0,0,WDL
2023-04-04,7,2,WDL
2023-04-05,4,7,WDL
2023-04-06,7,3,WDL
2023-04-07,5,3,WDL
2023-04-08,5,5,WDL
2023-04-09,0,0,WDL
2023-04-10,9,10,WDL
2023-04-11,2,1,WDL
2023-04-12,4,4,WDL
2023-04-13,0,3,WDL
2023-04-14,2,6,WDL
2023-04-15,0,0,WDL
2023-04-16,0,0,WDL
2023-04-17,7,12,WDL
2023-04-18,1,3,WDL
2023-04-19,4,2,WDL
2023-04-20,4,2,WDL
2023-04-21,6,3,WDL
2023-04-22,0,0,WDL
2023-04-23,0,0,WDL
2023-04-24,6,8,WDL
2023-04-25,3,3,WDL
2023-04-26,3,3,WDL
2023-04-27,2,2,WDL
2023-04-28,4,5,WDL
2023-04-29,0,0,WDL
2023-04-30,8,6,WDL
2023-05-01,1,3,WDL
2023-05-02,2,2,WDL
2023-05-03,3,3,WDL
2023-05-04,2,1,WDL
2023-05-05,0,0,WDL
2023-05-06,0,0,WDL
2023-05-07,1,6,WDL
2023-05-08,1,3,WDL
2023-05-09,3,0,WDL
2023-05-10,4,2,WDL
2023-05-11,1,1,WDL
2023-05-12,0,0,WDL
2023-05-13,2,0,WDL
2023-05-14,0,2,WDL
2023-05-15,4,3,WDL
2023-05-16,6,5,WDL
2023-05-17,1,2,WDL
2023-05-18,0,0,WDL
2023-05-19,0,3,WDL
2023-05-20,3,5,WDL
2023-05-21,4,3,WDL
2023-05-22,2,5,WDL
2023-05-23,4,2,WDL
2023-05-24,0,0,WDL
2023-05-25,1,1,WDL
2023-05-26,2,4,WDL
2023-05-27,2,2,WDL
2023-05-28,2,2,WDL
2023-05-29,3,3,WDL
2023-05-30,0,0,WDL
2023-05-31,4,1,WDL
2023-06-01,1,1,WDL
2023-06-02,6,7,WDL
2023-06-03,29,34,WDL
2023-06-04,52,41,WDL
2023-06-05,0,0,WDL
